location,gen_key,index,detail,text,rec_exp,age
title,title-sta01,sta,연령대별 Best 상품 추천,연령대별 베스트 상품!,연령대별 Best 상품 추천,
title,title-sta02,sta,연령대별 Best 상품 추천,연령대별 추천 상품,연령대별 Best 상품 추천,
title,title-sta03,sta,연령대별 Best 상품 추천,연령대에 맞는 상품 추천,연령대별 Best 상품 추천,
title,title-sta04,sta,연령대별 Best 상품 추천,연령별 인기 상품 추천,연령대별 Best 상품 추천,
title,title-sta05,sta,연령대별 Best 상품 추천,연령대별 최고의 선택,연령대별 Best 상품 추천,
title,title-sta06,sta,연령대별 Best 상품 추천,연령대별 베스트 아이템,연령대별 Best 상품 추천,
title,title-sta07,sta,연령대별 Best 상품 추천,연령별 최애 상품 추천,연령대별 Best 상품 추천,
title,title-sta08,sta,연령대별 Best 상품 추천,연령대에 맞춘 추천 상품,연령대별 Best 상품 추천,
title,title-ste01,ste,성별 Best 상품 추천,성별 맞춤 베스트 상품,성별 Best 상품 추천,
title,title-ste02,ste,성별 Best 상품 추천,남녀 인기 상품 추천,성별 Best 상품 추천,
title,title-ste03,ste,성별 Best 상품 추천,성별 추천 아이템,성별 Best 상품 추천,
title,title-stf01,stf,첫 구매 Best 상품 추천,첫 구매 추천 상품,첫 구매 Best 상품 추천,
title,title-stf02,stf,첫 구매 Best 상품 추천,첫 구매 인기 상품,첫 구매 Best 상품 추천,
title,title-stf03,stf,첫 구매 Best 상품 추천,첫 구매 베스트 아이템,첫 구매 Best 상품 추천,
title,title-stst01,stst,스테디셀러 상품 추천,스테디셀러 상품 모음,스테디셀러 상품 추천,
title,title-stst02,stst,스테디셀러 상품 추천,꾸준히 사랑받는 상품,스테디셀러 상품 추천,
title,title-stcr01,stcr,Next구매 확률 높은 상품 추천,다음 구매 추천 상품,Next구매 확률 높은 상품 추천,
title,title-stcr02,stcr,Next구매 확률 높은 상품 추천,다음 구매 유망 상품,Next구매 확률 높은 상품 추천,
title,title-stcr03,stcr,Next구매 확률 높은 상품 추천,다음에 살만한 상품,Next구매 확률 높은 상품 추천,
title,title-stn02,stn,신상품 추천,새로운 상품 소개,신상품 추천,
title,title-stn03,stn,신상품 추천,신상품 추천,신상품 추천,
title,title-stn04,stn,신상품 추천,새로운 상품을 만나보세요,신상품 추천,
title,title-stn05,stn,신상품 추천,놓치지 말아야 할 신상품,신상품 추천,
title,title-stn09,stn,신상품 추천,핫한 신상품 소개,신상품 추천,
title,title-stn10,stn,신상품 추천,떠오르는 신상 추천!,신상품 추천,
title,title-stca01,stca,장바구니 상품 추천,장바구니 추천 상품,장바구니 상품 추천,
title,title-stca02,stca,장바구니 상품 추천,카트에 담을 추천 상품,장바구니 상품 추천,
title,title-stwi01,stwi,위시리스트 상품 추천,위시리스트 추천 상품,위시리스트 상품 추천,
title,title-stwi02,stwi,위시리스트 상품 추천,위시리스트에 추가할 상품,위시리스트 상품 추천,
title,title-stwb01,stwb,선호 카테고리 Best 상품 추천,선호 카테고리 베스트 상품,선호 카테고리 Best 상품 추천,
title,title-stwb02,stwb,선호 카테고리 Best 상품 추천,카테고리별 인기 상품,선호 카테고리 Best 상품 추천,
title,title-stsb01,stsb,최대 할인 상품 추천,최대 할인 상품 모음,최대 할인 상품 추천,
title,title-stsb02,stsb,최대 할인 상품 추천,할인율 높은 상품 추천,최대 할인 상품 추천,
title,title-stap01,stap,회원가입 감사 메시지 발송,회원가입 감사 인사,회원가입 감사 메시지 발송,
title,title-stap02,stap,회원가입 감사 메시지 발송,가입 감사 메시지,회원가입 감사 메시지 발송,
title,title-stwr01,stwr,위시리스트 리마인드,위시리스트 리마인더,위시리스트 리마인드,
title,title-stwr02,stwr,위시리스트 리마인드,위시리스트 알림,위시리스트 리마인드,
title,title-stcrr01,stcrr,장바구니 리마인드,장바구니 리마인더,장바구니 리마인드,
title,title-stcrr02,stcrr,장바구니 리마인드,장바구니 알림,장바구니 리마인드,
title,title-stsc01,stsc,시크릿 쿠폰 발송,시크릿 쿠폰 도착!,시크릿 쿠폰 발송,
